city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
San Antonio,USA,29.4241,-98.4936,2001,5,52.17,40.6,Good,Reference/Equivalent Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2003,3,51.06,15.33,Good,Reference/Equivalent Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2014,3,50.94,41.11,Good,Federal Reference Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2015,4,50.24,40.87,Good,Federal Reference Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2015,5,51.77,32.94,Good,Federal Reference Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2017,3,50.09,25.53,Good,Federal Reference Method,EPA_AQS
San Antonio,USA,29.4241,-98.4936,2018,4,53.74,16.01,Moderate,Federal Reference Method,EPA_AQS
London,UK,51.5074,-0.1278,2000,3,55.44,62.85,Moderate,Reference/Equivalent Method,WHO_Database
London,UK,51.5074,-0.1278,2000,5,56.07,37.77,Moderate,Reference/Equivalent Method,WHO_Database
London,UK,51.5074,-0.1278,2002,5,50.71,75.69,Good,Reference/Equivalent Method,WHO_Database
London,UK,51.5074,-0.1278,2004,3,50.05,24.91,Good,Reference/Equivalent Method,WHO_Database
London,UK,51.5074,-0.1278,2006,3,54.34,50.1,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2006,5,51.03,55.23,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2010,3,51.7,53.29,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2010,4,50.4,48.78,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2011,3,52.11,57.82,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2011,5,52.69,34.9,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2014,5,55.19,33.1,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2015,5,52.23,43.31,Poor,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2016,5,52.06,49.08,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2017,3,55.8,44.12,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2019,4,57.34,58.66,Poor,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2020,4,51.17,27.49,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2022,4,51.49,40.4,Poor,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,3,50.75,41.92,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2003,5,50.48,27.99,Good,Reference/Equivalent Method,WHO_Database
Paris,France,48.8566,2.3522,2012,5,50.34,54.55,Moderate,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2013,4,50.86,54.36,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2016,4,52.08,60.81,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2017,3,50.24,26.84,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2018,5,51.77,42.37,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2020,3,51.55,25.21,Good,Federal Reference Method,WHO_Database
Paris,France,48.8566,2.3522,2025,5,51.36,59.28,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2000,4,50.56,35.95,Good,Reference/Equivalent Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2001,4,50.33,48.7,Good,Reference/Equivalent Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2001,6,51.28,52.52,Poor,Reference/Equivalent Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2003,5,50.86,62.4,Good,Reference/Equivalent Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2003,6,53.07,58.0,Good,Reference/Equivalent Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2005,4,60.24,40.78,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2006,4,56.2,55.61,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2006,5,55.02,32.73,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2008,5,51.72,34.9,Poor,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2009,3,57.65,31.4,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2011,3,57.69,40.76,Moderate,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2012,2,50.92,48.0,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2013,3,57.32,40.16,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2013,4,50.71,30.17,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2014,4,54.7,29.05,Moderate,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2014,5,57.75,62.02,Moderate,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2015,3,52.54,30.95,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2015,4,60.8,51.07,Moderate,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2017,5,58.35,51.96,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2018,4,59.69,26.84,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2019,5,51.16,41.16,Moderate,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2021,2,51.62,25.45,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2021,4,51.16,53.69,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2024,5,53.05,25.04,Good,Federal Reference Method,WHO_Database
Tokyo,Japan,35.6762,139.6503,2025,3,57.87,42.01,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,2,125.83,41.67,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,3,90.05,67.34,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,4,84.95,33.98,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,5,89.3,52.69,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,6,94.54,63.24,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,7,72.24,37.57,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,8,101.86,42.98,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,10,73.89,60.83,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,11,61.6,53.26,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,1999,12,59.66,49.8,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,1,86.25,50.18,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,2,99.07,50.43,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,3,85.37,42.12,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,4,101.75,65.55,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,5,74.83,58.37,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,7,82.92,75.61,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,8,92.1,57.46,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,9,81.59,73.14,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,11,86.95,47.94,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2000,12,93.1,42.16,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,1,114.62,60.03,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,2,84.87,62.64,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,3,100.28,79.34,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,4,130.84,60.09,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,5,123.04,45.17,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,8,78.88,73.93,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2001,9,51.98,35.57,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,1,78.12,57.5,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,3,58.18,41.11,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,4,150.75,87.71,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,5,54.16,47.76,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,6,63.68,93.65,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,7,94.04,46.23,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,8,88.34,42.11,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,10,61.14,31.36,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2002,11,88.56,52.99,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,2,91.87,41.92,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,3,53.7,53.42,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,4,92.32,36.2,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,5,126.57,64.18,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,6,93.81,81.82,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,7,79.27,83.26,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,8,86.4,81.66,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2003,10,64.09,72.06,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,1,95.89,53.71,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,2,56.63,55.55,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,3,137.01,72.94,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,4,104.78,83.35,Moderate,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,5,139.2,36.04,Poor,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,6,80.85,84.27,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,7,62.9,51.35,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2004,11,64.69,29.95,Good,Reference/Equivalent Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,1,82.35,34.98,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,3,79.64,37.04,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,4,155.97,55.06,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,5,147.55,84.43,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,6,109.92,43.93,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,7,51.79,44.89,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,9,56.16,37.52,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,10,56.6,71.71,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2005,12,92.48,45.22,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,1,54.77,37.32,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,2,126.21,59.95,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,3,127.9,43.13,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,4,89.89,76.52,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,5,109.16,87.5,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,7,89.43,91.56,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,8,59.27,69.44,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,11,72.72,59.9,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2006,12,97.04,46.41,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,1,82.28,30.1,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,3,106.3,72.43,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,4,79.63,84.31,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,5,134.93,49.09,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,7,70.5,79.56,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,8,81.31,84.5,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2007,12,69.51,38.6,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,3,83.56,73.68,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,4,67.48,38.45,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,5,60.56,89.75,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,6,76.06,68.5,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,7,120.76,80.04,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,8,85.5,86.68,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,11,84.84,26.46,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2008,12,80.26,63.07,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2009,1,98.3,46.74,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2009,2,89.12,62.0,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2009,3,127.15,40.12,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2009,4,74.19,33.81,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2009,6,60.4,94.45,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,1,111.1,69.58,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,2,104.24,54.98,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,3,145.37,83.9,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,4,141.98,52.84,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,5,160.4,40.32,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,6,50.01,94.53,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,7,64.73,53.18,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,8,54.79,76.76,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,10,79.57,74.33,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,11,65.37,62.79,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2010,12,60.25,49.9,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,5,124.09,77.26,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,6,134.41,72.59,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,7,70.44,103.0,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,8,109.97,67.91,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,9,79.36,82.01,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,11,63.01,35.72,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2011,12,106.87,33.07,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,1,89.95,32.95,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,2,99.82,39.18,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,3,163.52,45.06,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,4,98.09,81.98,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,6,79.08,67.7,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,7,100.63,85.59,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,8,110.54,78.4,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,9,74.86,73.83,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2012,11,64.23,38.83,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,2,70.75,47.27,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,3,165.04,34.86,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,4,86.49,75.66,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,5,123.79,86.08,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,8,65.11,79.23,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,10,61.01,47.17,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,11,62.15,48.8,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2013,12,80.19,55.64,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,2,136.77,50.06,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,3,134.5,78.93,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,4,118.4,88.53,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,7,60.08,95.05,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,8,54.78,83.29,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,9,72.54,78.04,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,10,83.5,45.59,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2014,12,51.46,65.03,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,1,86.22,46.99,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,2,148.14,44.36,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,3,89.95,36.36,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,4,146.24,42.27,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,5,54.87,88.04,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,6,99.53,70.5,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,7,107.62,91.11,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,8,80.46,64.01,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,9,91.98,34.31,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,10,89.38,43.42,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2015,11,50.43,32.7,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,1,100.62,72.01,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,2,93.73,55.43,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,3,102.62,33.42,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,5,61.51,96.27,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,6,148.63,101.39,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,7,80.62,49.95,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,8,102.1,87.64,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,9,78.9,38.3,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,10,74.21,50.66,Poor,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2016,12,96.67,62.24,Moderate,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,1,58.41,70.22,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,3,96.62,78.32,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,4,63.97,93.37,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,5,152.35,58.15,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,6,82.08,50.76,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,8,66.57,84.27,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,9,89.12,67.76,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2017,10,67.84,51.76,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,2,121.79,69.59,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,3,100.08,71.37,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,4,123.35,41.16,Good,Federal Reference Method,WHO_Database
Beijing,China,39.9042,116.4074,2018,5,96.75,80.45,Good,Federal Reference Method,WHO_Database
